"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PPP1R15A",2.87685239480226e-104,2.91170864052073,0.889,0.982,5.75370478960452e-101
"C5AR1",6.56732035978362e-81,2.8897426097054,0.862,0.961,1.31346407195672e-77
"HBA1",2.78362616744365e-51,2.88309777536657,0.888,0.961,5.5672523348873e-48
"GNAS",2.49938065994664e-141,2.87256115756377,0.969,0.996,4.99876131989328e-138
"PLCXD3",3.99770748850833e-74,2.87183581551204,0.848,0.961,7.99541497701666e-71
"ID4",6.68896033668579e-77,2.86904591150668,0.867,0.971,1.33779206733716e-73
"SRGN",5.59838761980896e-33,2.86088973215136,0.832,0.961,1.11967752396179e-29
"SOX4",5.95815129386453e-149,2.85731349287092,0.977,0.982,1.19163025877291e-145
"RECQL",8.47985577370195e-22,2.82841424127011,0.776,0.964,1.69597115474039e-18
"IL7R",1.29136924914494e-94,2.81285982824901,0.891,0.964,2.58273849828988e-91
"LINC00682",1.16100197975585e-11,2.80721751248314,0.149,0.004,2.32200395951169e-08
"CCND1",7.6232224835918e-78,2.787272187602,0.865,0.964,1.52464449671836e-74
"CDKN2D",9.51288729113744e-17,2.77834844204613,0.386,0.961,1.90257745822749e-13
"ESM1",1.42940564514013e-85,2.77385685238509,0.86,0.961,2.85881129028026e-82
"ENG",1.05947434027297e-84,2.77382814196979,0.874,0.961,2.11894868054593e-81
"ID1",4.11549322348487e-99,2.76971910035331,0.868,0.961,8.23098644696973e-96
"KLF10",6.41720038217549e-96,2.76532852322538,0.874,0.971,1.2834400764351e-92
"DCLK1",1.05273474875515e-95,2.7583456286256,0.862,0.961,2.1054694975103e-92
"IER2",3.70676092480468e-125,2.75370754817495,0.931,0.989,7.41352184960937e-122
"CKB",6.78910716025286e-19,2.75052136032274,0.73,0.971,1.35782143205057e-15
"CRABP1",8.9361058714012e-20,2.74810013157398,0.235,0,1.78722117428024e-16
"C1orf56",1.99343567686769e-51,2.74240634474027,0.845,0.964,3.98687135373539e-48
"GUCA2B",1.23873466667494e-111,2.73849047726982,0.783,0,2.47746933334988e-108
"SLC20A1",4.85666424068949e-98,2.73326557674392,0.779,0.215,9.71332848137897e-95
"IVNS1ABP",1.51307798964174e-101,2.72887011812427,0.882,0.964,3.02615597928348e-98
"BPGM",1.78774476627886e-65,2.72822845839628,0.857,0.964,3.57548953255771e-62
"PHOX2B",1.18384396701264e-11,2.71869510010523,0.143,0,2.36768793402529e-08
"MRFAP1",8.42551918011504e-91,2.71444164779874,0.92,0.986,1.68510383602301e-87
"C9orf24",3.5922057689764e-07,2.71304032170527,0.396,0.05,0.000718441153795279
"CHRNA5",4.96501738491514e-65,2.71149278963776,0.819,0.961,9.93003476983028e-62
"NR4A3",1.24078378315817e-95,2.69241864091393,0.87,0.961,2.48156756631633e-92
"AKAP12",2.08083007336889e-120,2.69143738484305,0.923,0.968,4.16166014673778e-117
"UNC5C",6.32532786480078e-78,2.68366568587351,0.828,0.961,1.26506557296016e-74
"CALCA",1.34588006973784e-36,2.68235997804207,0.716,0.961,2.69176013947568e-33
"IGFBP7",1.26870645465413e-53,2.67663178504593,0.704,0.222,2.53741290930827e-50
"PEBP1",1.55784567630909e-66,2.67290901786853,0.847,0.656,3.11569135261818e-63
"FABP5",6.40564022266128e-37,2.65807231928117,0.881,0.982,1.28112804453226e-33
"DHPS",2.35283621256026e-29,2.65342566097545,0.782,0.326,4.70567242512051e-26
"SPC25",1.6174530939517e-103,2.64757225532404,0.125,0.961,3.23490618790341e-100
"ATP6V1D",5.24020841123901e-50,2.63974316203932,0.825,0.971,1.0480416822478e-46
"TNC",9.31538092142396e-93,2.63731858652702,0.866,0.961,1.86307618428479e-89
"ABCA1",2.4552069033155e-43,2.63231904805448,0.857,0.961,4.910413806631e-40
"FILIP1L",5.52224803245105e-93,2.62915417248485,0.869,0.961,1.10444960649021e-89
"PCDHB4",8.32969366140811e-33,2.62157715666162,0.136,0.043,1.66593873228162e-29
"CENPF",1.94330195024036e-05,2.61486697850831,0.445,0.961,0.0388660390048072
"MIDN",1.31899974081955e-47,2.59634778490599,0.81,0.48,2.63799948163911e-44
