"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SNHG9",7.22636724051995e-135,1.40149058273991,0.82,0.23,1.44527344810399e-131
"KLF2",1.39791731803786e-236,1.39541374931959,0.905,0.157,2.79583463607571e-233
"PDZRN4",2.47857901801996e-217,1.39235479392727,0.696,0.022,4.95715803603991e-214
"FPR1",6.08455580210023e-222,1.39152526457792,0.611,0.002,1.21691116042005e-218
"CSF2RA",0,1.38790058054729,0.862,0.011,0
"PIK3C2G",6.87577953171651e-287,1.37842415130261,0.752,0.009,1.3751559063433e-283
"FAM129A",3.72493948701235e-96,1.37761168723216,0.645,0.018,7.4498789740247e-93
"ALB",8.78464257192666e-76,1.37397405647232,0.213,0.003,1.75692851438533e-72
"EMP3",3.83051878851756e-226,1.36241192888736,0.922,0.183,7.66103757703512e-223
"LAMP3",1.03753785626662e-321,1.35945617621182,0.766,0.018,2.07507571253324e-318
"RND1",2.40414777006996e-301,1.35476413766374,0.861,0.079,4.80829554013992e-298
"PNRC1",2.13886836860305e-127,1.34014720363422,0.932,0.454,4.2777367372061e-124
"HSF4",2.03486263801813e-257,1.33745085782601,0.078,0.005,4.06972527603625e-254
"CEBPB",1.44741076482659e-158,1.3366004250351,0.875,0.248,2.89482152965317e-155
"AMBP",1.18267171923384e-55,1.33468505583814,0.277,0.028,2.36534343846768e-52
"CXCL1",1.18742573862617e-290,1.33226238834767,0.868,0.097,2.37485147725234e-287
"SOD2",1.12158913663642e-99,1.33089875327422,0.889,0.437,2.24317827327285e-96
"GREM1",4.70281966950191e-307,1.30946739371679,0.853,0.052,9.40563933900381e-304
"BACE2",5.69242728864876e-91,1.30046564953502,0.662,0.049,1.13848545772975e-87
"S100A4",0,1.29879735783011,0.872,0.054,0
"PLIN5",3.09129894845111e-218,1.29485751920353,0.756,0.016,6.18259789690223e-215
"LINC00473",6.81774940862978e-207,1.29133228914507,0.125,0.016,1.36354988172596e-203
"THBS4",0,1.28205205567192,0.861,0.038,0
"TGFBI",1.07607497664223e-320,1.27680354844262,0.827,0.03,2.15214995328447e-317
"HLA-C",1.38522133126891e-20,1.27478002251739,0.719,0.276,2.77044266253781e-17
"PIM3",1.12119804662057e-74,1.26682866187381,0.818,0.399,2.24239609324114e-71
"FGF7",0,1.26547029247735,0.863,0.043,0
"CAV1",2.59134886554422e-289,1.26122809786665,0.867,0.093,5.18269773108845e-286
"ARPP21",1.51426215386738e-242,1.26047883033864,0.886,0.116,3.02852430773476e-239
"RARRES2",0,1.25802346697923,0.867,0.06,0
"HOXB2",1.63064264431161e-159,1.25780253079509,0.496,0.008,3.26128528862321e-156
"UNC5B",1.38267451095379e-178,1.25757437476414,0.734,0.025,2.76534902190758e-175
"G6PC2",1.6602858894938e-60,1.24890117546215,0.264,0.01,3.32057177898761e-57
"GLIPR1",8.44780362190828e-289,1.24361002858081,0.89,0.095,1.68956072438166e-285
"MYOCD",0,1.23236012243951,0.857,0.003,0
"TIGIT",4.47205859389803e-91,1.23011259916939,0.554,0.01,8.94411718779607e-88
"ZFP36",1.73632639810106e-124,1.22770552928036,0.885,0.304,3.47265279620212e-121
"TCHH",1.56931161466421e-303,1.22460453373361,0.757,0.026,3.13862322932841e-300
"EFNA1",1.31382187677929e-82,1.21819055649919,0.727,0.162,2.62764375355857e-79
"OSGIN1",1.02096143044118e-149,1.21673717448008,0.181,0.042,2.04192286088237e-146
"SYCN",6.24511274740736e-241,1.21443135220273,0.869,0.132,1.24902254948147e-237
"SPARCL1",0,1.20893355629476,0.867,0.037,0
