"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TNFRSF12A",0.0966177991152152,0.776188561733251,0.869,0.993,1
"CA1",8.93390762220729e-75,0.775006549490312,0.622,0,1.78678152444146e-71
"GABARAP",4.92580469645588e-92,0.774721599717464,0.938,1,9.85160939291175e-89
"IL1R1",5.55683739428591e-10,0.759987180346493,0.868,0.968,1.11136747885718e-06
"BIRC5",1.88932933264334e-124,0.754823068586739,0.206,0.964,3.77865866528668e-121
"SOD2",2.16902946127049e-11,0.751762166954268,0.889,0.814,4.33805892254099e-08
"TFF1",8.98105202755436e-39,0.749355466190422,0.721,0.961,1.79621040551087e-35
"OLFML3",1.12832923444483e-53,0.745736919982481,0.866,0.961,2.25665846888966e-50
"AURKA",0.238055275076529,0.742334970185968,0.729,0.961,1
"TUBA1C",0.0171076698772476,0.738497051415914,0.808,0.986,1
"CCL14",7.67504100796123e-09,0.737436192713703,0.43,0.961,1.53500820159225e-05
"MYL12B",3.20986482302148e-24,0.73612038077143,0.958,0.993,6.41972964604296e-21
"CD68",1.58627188960741e-43,0.734117321969296,0.223,0.667,3.17254377921481e-40
"ANXA2",0.0233813590327767,0.733323736753353,0.855,0.982,1
"DHRS9",2.67871281155448e-79,0.729159121915052,0.644,0,5.35742562310896e-76
"LDLR",0.00239786082381291,0.728998963076992,0.741,0.982,1
"IER3",3.05615845618533e-12,0.72143997185662,0.871,0.989,6.11231691237066e-09
"PTP4A1",0.894511099141731,0.715519361533398,0.505,0.523,1
"PHLDA1",3.41454954047653e-30,0.714629251925202,0.869,0.971,6.82909908095306e-27
"PLAUR",5.51624070938518e-18,0.711940039015106,0.867,0.968,1.10324814187704e-14
"S100A6",7.27316382581479e-11,0.708964549287304,0.848,1,1.45463276516296e-07
"CSF2RA",5.13341112794316e-13,0.707729734558651,0.862,0.961,1.02668222558863e-09
"CTSL",7.94402805187382e-33,0.702722151869859,0.866,0.978,1.58880561037476e-29
"UQCRH",2.78307288172918e-22,0.702139896393207,0.907,0.993,5.56614576345835e-19
"UBB",2.8132571807518e-32,0.695652985901658,0.964,1,5.6265143615036e-29
"POSTN",1.31998415345572e-18,0.691134383025349,0.867,0.961,2.63996830691144e-15
"BACE2",7.04230301001033e-23,0.690418444864247,0.662,0.355,1.40846060200207e-19
"JTB",7.69578953300218e-08,0.689964058088401,0.813,0.946,0.000153915790660044
"TYROBP",3.23351998997665e-08,0.688996812090203,0.846,0.961,6.4670399799533e-05
"DIRAS3",0.78842267988486,0.688624098057866,0.704,0.968,1
"NKX6-2",4.23487508124253e-28,0.681836304890073,0.813,0.961,8.46975016248506e-25
"RGS3",3.35232961492805e-71,0.681513770196024,0.867,0.968,6.7046592298561e-68
"ZFP36L2",1.8222979946308e-13,0.681440512133183,0.909,0.982,3.6445959892616e-10
"PRDX2",0.00066343756065931,0.666719569063364,0.778,0.996,1
"PDLIM4",1.02851868772532e-16,0.665852413592297,0.819,0.986,2.05703737545065e-13
"TNFRSF10B",1.79878955717234e-20,0.663202054949503,0.867,0.968,3.59757911434468e-17
"PIGP",0.0554870734860098,0.662742705984226,0.514,0.548,1
"TXN",2.19006110799371e-07,0.652158068567914,0.826,0.978,0.000438012221598743
"PRR13",7.43919126963067e-12,0.648216714365141,0.472,0.975,1.48783825392613e-08
"C19orf53",0.00084463282248807,0.644790422765037,0.814,0.946,1
"YPEL3",6.1566586650203e-17,0.643863465862228,0.461,0.982,1.23133173300406e-13
"C11orf96",1.46787409197438e-37,0.633906528324838,0.868,0.978,2.93574818394876e-34
"RAN",3.02525364929664e-18,0.633871338733546,0.95,0.993,6.05050729859329e-15
"PDK4",2.79813876665399e-11,0.631513368330173,0.481,0.975,5.59627753330798e-08
"PGF",4.41956990969518e-69,0.626037845578931,0.866,0.964,8.83913981939035e-66
"PLCE1",4.75902126843267e-68,0.624988353841873,0.358,0.961,9.51804253686533e-65
"SMIM1",3.47228861125889e-36,0.622149520771162,0.125,0.244,6.94457722251778e-33
"KATNBL1",7.72630314305307e-29,0.62214885674004,0.884,0.971,1.54526062861061e-25
"BLOC1S5",4.24100049172399e-39,0.615435839805672,0.878,0.964,8.48200098344798e-36
"NENF",2.1305150938992e-07,0.614408241565376,0.823,0.957,0.00042610301877984
"HHATL",4.80826933984726e-88,0.610720228594269,0.197,0.961,9.61653867969452e-85
